LSOA code,LSOA name,Value
E01000446,Bexley 024D,"438,000"
E01000447,Bexley 023C,"387,500"
E01000448,Bexley 023D,"640,000"
E01000449,Bexley 023E,"545,000"
E01000450,Bexley 009E,"470,000"
E01000451,Bexley 009F,"441,250"
E01000452,Bexley 009G,"452,500"
E01000453,Bexley 013B,"420,000"
E01000454,Bexley 013C,"404,000"
E01000455,Bexley 013D,"437,500"
E01000456,Bexley 013E,"450,000"
E01000457,Bexley 026D,"310,000"
E01000458,Bexley 027E,"465,000"
E01000459,Bexley 027F,"320,000"
E01000460,Bexley 022E,"615,000"
E01000461,Bexley 024E,"595,000"
E01000462,Bexley 026E,"307,500"
E01000463,Bexley 025E,"502,500"
E01000464,Bexley 002D,
E01000465,Bexley 002E,
E01000466,Bexley 001A,
E01000467,Bexley 001B,"305,000"
E01000468,Bexley 001C,"315,000"
E01000469,Bexley 001D,"279,995"
E01000470,Bexley 002F,"320,000"
E01032566,Bexley 029D,"345,000"
E01000471,Brent 026A,"475,000"
E01000472,Brent 029A,"290,000"
E01000473,Brent 029B,"275,000"
E01000474,Brent 026B,
E01000475,Brent 029C,"479,000"
E01000476,Brent 026C,"545,000"
E01000477,Brent 026D,"270,000"
E01000478,Brent 029D,"447,500"
E01000479,Brent 009A,"717,500"
E01000480,Brent 006A,"810,000"
E01000481,Brent 009B,"278,000"
E01000482,Brent 009C,
E01000483,Brent 009D,"300,000"
E01000484,Brent 006B,
E01000485,Brent 006C,
E01000486,Brent 006D,"680,000"
E01000487,Brent 006E,"370,000"
E01000488,Brent 022A,"1,525,000"
E01000489,Brent 030A,"1,350,000"
E01000490,Brent 023A,"508,000"
E01000491,Brent 030B,"880,000"
E01000492,Brent 030C,"1,230,000"
E01000493,Brent 030D,"895,000"
E01000494,Brent 023B,"450,000"
E01000495,Brent 023C,"540,000"
E01000497,Brent 011A,
E01000498,Brent 010B,"490,000"
E01000499,Brent 011B,"697,500"
E01000501,Brent 011C,
E01000502,Brent 011D,"524,250"
E01000503,Brent 011E,"765,000"
E01000504,Brent 018A,"712,000"
E01000505,Brent 018B,
E01000506,Brent 014A,"315,000"
E01000507,Brent 018C,"900,000"
E01000508,Brent 025A,"440,000"
E01000509,Brent 014B,
E01000510,Brent 014C,
E01000511,Brent 014D,"945,000"
E01000512,Brent 018D,"825,000"
E01000513,Brent 002A,"605,000"
E01000514,Brent 002B,"461,000"
E01000515,Brent 003A,
E01000516,Brent 002C,"475,000"
E01000517,Brent 003B,"620,000"
E01000518,Brent 005A,"470,000"
E01000519,Brent 005B,"527,500"
E01000520,Brent 002D,"480,000"
E01000521,Brent 025B,
E01000522,Brent 025C,"405,000"
E01000523,Brent 031A,"767,500"
E01000524,Brent 031B,"325,000"
E01000525,Brent 031C,"435,750"
E01000526,Brent 025D,
E01000527,Brent 025E,"462,500"
E01000528,Brent 025F,"275,000"
E01000530,Brent 033A,"1,295,000"
E01000531,Brent 033B,"778,000"
E01000532,Brent 033C,"953,000"
E01000533,Brent 031E,"650,000"
E01000534,Brent 033D,"685,000"
E01000535,Brent 031F,"562,500"
E01000536,Brent 004A,"775,000"
E01000538,Brent 004B,"780,000"
E01000539,Brent 004C,"382,500"
E01000540,Brent 004D,"867,500"
E01000541,Brent 004E,"644,000"
E01000543,Brent 003E,"457,500"
E01000544,Brent 034A,"475,000"
E01000545,Brent 028A,"515,000"
E01000546,Brent 028B,"1,292,500"
E01000547,Brent 028C,"1,002,500"
E01000548,Brent 028D,"480,000"
E01000549,Brent 028E,"865,000"
E01000550,Brent 034B,"728,538"
E01000551,Brent 034C,"570,000"
E01000552,Brent 034D,"606,000"
E01000553,Brent 015A,"459,750"
E01000554,Brent 015B,"470,000"
E01000555,Brent 015C,"1,150,000"
E01000556,Brent 015D,"395,000"
E01000557,Brent 015E,"400,000"
E01000558,Brent 015F,"535,000"
E01000559,Brent 018E,"620,000"
E01000560,Brent 023D,"1,700,000"
E01000561,Brent 023E,"522,500"
E01000562,Brent 008A,"1,055,000"
E01000563,Brent 008B,"762,500"
E01000564,Brent 013A,"517,500"
E01000565,Brent 013B,"738,500"
E01000566,Brent 008C,"581,500"
E01000567,Brent 016A,"690,000"
E01000568,Brent 008D,
E01000569,Brent 008E,"681,250"
E01000570,Brent 012A,"486,000"
E01000571,Brent 012B,"632,500"
E01000572,Brent 007A,"602,350"
E01000573,Brent 007B,"550,000"
E01000574,Brent 007C,"621,000"
E01000575,Brent 007D,"393,000"
E01000576,Brent 012C,"515,000"
E01000577,Brent 007E,"334,000"
E01000578,Brent 012D,"423,750"
E01000579,Brent 032A,"780,000"
E01000580,Brent 032B,"1,660,000"
E01000581,Brent 030E,"1,393,000"
E01000582,Brent 032C,"1,452,500"
E01000583,Brent 032D,"950,000"
E01000584,Brent 033E,"1,160,250"
E01000585,Brent 033F,"690,000"
E01000586,Brent 032E,"641,750"
E01000587,Brent 001A,"611,500"
E01000588,Brent 002E,"415,000"
E01000589,Brent 001B,"405,000"
E01000590,Brent 001C,"532,000"
E01000591,Brent 003F,"511,500"
E01000592,Brent 001D,"585,000"
E01000593,Brent 001E,
E01000594,Brent 001F,"520,000"
E01000595,Brent 027A,
E01000596,Brent 021A,
E01000599,Brent 027D,
E01000600,Brent 027E,"475,000"
E01000601,Brent 021B,
E01000602,Brent 021C,
E01000603,Brent 021D,
E01000604,Brent 021E,"415,000"
